date,type_id,label,group,index,coverage,skus,baseline_skus,baseline_date
2026-08-17,salami,Salam,meat,100.0,0.9583,23,24,2026-08-16
2026-08-17,sausage,Sosis,meat,99.9648,1.0,24,24,2026-08-16
2026-08-17,meatballs,Köfte,meat,100.0,1.0,13,13,2026-08-16
2026-08-17,tuna,Ton balığı,fish,100.0,1.0,25,25,2026-08-16
2026-08-17,sardine,Konserve sardalya,fish,,0.0,0,0,2026-08-16
2026-08-17,smoked_salmon,Somon füme,fish,,1.0,4,4,2026-08-16
2026-08-17,salmon,Somon fileto,fish,,1.0,1,1,2026-08-16
2026-08-17,frozen_fish,Dondurulmuş balık,fish,100.0,1.0,10,10,2026-08-16
2026-08-17,fish_fingers,Balık parmak,fish,,0.0,0,0,2026-08-16
2026-08-17,milk,İçme sütü,dairy_eggs,100.0,0.96,24,25,2026-08-16
2026-08-17,milk_lactosefree,Laktozsuz süt,dairy_eggs,100.3389,1.0,20,20,2026-08-16
2026-08-17,yogurt,Yoğurt,dairy_eggs,100.0,0.9583,23,24,2026-08-16
2026-08-17,strained_yogurt,Süzme yoğurt,dairy_eggs,100.0,1.0,13,13,2026-08-16
2026-08-17,ayran,Ayran,dairy_eggs,99.7953,1.0,24,24,2026-08-16
2026-08-17,kefir,Kefir,dairy_eggs,99.8871,1.0,20,20,2026-08-16
2026-08-17,white_cheese,Beyaz peynir,dairy_eggs,100.0,0.96,24,25,2026-08-16
2026-08-17,kasar,Kaşar peyniri,dairy_eggs,100.8966,1.0,25,25,2026-08-16
2026-08-17,labneh,Labne,dairy_eggs,100.0,1.0,24,24,2026-08-16
2026-08-17,cream_cheese,Krem peynir,dairy_eggs,101.2167,0.9583,23,24,2026-08-16
2026-08-17,mozzarella,Mozzarella,dairy_eggs,100.0,1.0,13,13,2026-08-16
2026-08-17,eggs,Yumurta,dairy_eggs,100.0,0.96,24,25,2026-08-16
2026-08-17,cream,Krema,dairy_eggs,100.0,0.9474,18,19,2026-08-16
